Provinsi,Jenis Kelamin,Tahun,Persentase
Sulawesi Selatan,Laki-Laki,2020,50.22
Sulawesi Selatan,Perempuan,2024,49.92
Sulawesi Selatan,Perempuan,2023,49.81
Sulawesi Selatan,Perempuan,2022,49.18
Sulawesi Selatan,Perempuan,2021,49.76
Sulawesi Selatan,Perempuan,2020,49.78
Sulawesi Tenggara,Laki-Laki,2024,51.23
Sulawesi Tenggara,Laki-Laki,2023,50.83
Sulawesi Tenggara,Laki-Laki,2022,51.56
Sulawesi Tenggara,Laki-Laki,2021,51.69
Sulawesi Tenggara,Laki-Laki,2020,52.13
Sulawesi Tenggara,Perempuan,2024,48.77
Sulawesi Tenggara,Perempuan,2023,49.17
Sulawesi Tenggara,Perempuan,2022,48.44
Sulawesi Tenggara,Perempuan,2021,48.31
Sulawesi Tenggara,Perempuan,2020,47.87
Gorontalo,Laki-Laki,2024,49.1
Gorontalo,Laki-Laki,2023,49.16
Gorontalo,Laki-Laki,2022,49.8
Gorontalo,Laki-Laki,2021,49.12
Gorontalo,Laki-Laki,2020,49.42
Gorontalo,Perempuan,2024,50.9
Gorontalo,Perempuan,2023,50.84
Gorontalo,Perempuan,2022,50.2
Gorontalo,Perempuan,2021,50.88
Gorontalo,Perempuan,2020,50.58
Sulawesi Barat,Laki-Laki,2024,51.19
Sulawesi Barat,Laki-Laki,2023,51.57
Sulawesi Barat,Laki-Laki,2022,52.46
Sulawesi Barat,Laki-Laki,2021,52.03
Sulawesi Barat,Laki-Laki,2020,53.01
Sulawesi Barat,Perempuan,2024,48.81
Sulawesi Barat,Perempuan,2023,48.43
Sulawesi Barat,Perempuan,2022,47.54
Sulawesi Barat,Perempuan,2021,47.97
Sulawesi Barat,Perempuan,2020,46.99
Maluku,Laki-Laki,2024,51.98
Maluku,Laki-Laki,2023,51.1
Maluku,Laki-Laki,2022,52
Maluku,Laki-Laki,2021,52.73
Maluku,Laki-Laki,2020,52.67
Maluku,Perempuan,2024,48.02
Maluku,Perempuan,2023,48.9
Maluku,Perempuan,2022,48
Maluku,Perempuan,2021,47.27
Maluku,Perempuan,2020,47.33
Maluku Utara,Laki-Laki,2024,52.52
Maluku Utara,Laki-Laki,2023,52.06
Maluku Utara,Laki-Laki,2022,53.13
Maluku Utara,Laki-Laki,2021,52.76
Maluku Utara,Laki-Laki,2020,52.76
Maluku Utara,Perempuan,2024,47.48
Maluku Utara,Perempuan,2023,47.94
Maluku Utara,Perempuan,2022,46.87
Maluku Utara,Perempuan,2021,47.24
Maluku Utara,Perempuan,2020,47.24
Papua Barat,Laki-Laki,2024,54.99
Papua Barat,Laki-Laki,2023,53.98
Papua Barat,Laki-Laki,2022,53.51
Papua Barat,Laki-Laki,2021,54.35
Papua Barat,Laki-Laki,2020,55.04
Papua Barat,Perempuan,2024,45.01
Papua Barat,Perempuan,2023,46.02
Papua Barat,Perempuan,2022,46.49
Papua Barat,Perempuan,2021,45.65
Papua Barat,Perempuan,2020,44.96
Papua Barat Daya,Laki-Laki,2024,53.43
Papua Barat Daya,Laki-Laki,2023,
Papua Barat Daya,Laki-Laki,2022,
Papua Barat Daya,Laki-Laki,2021,
Papua Barat Daya,Laki-Laki,2020,
Papua Barat Daya,Perempuan,2024,46.57
Papua Barat Daya,Perempuan,2023,
Papua Barat Daya,Perempuan,2022,
Papua Barat Daya,Perempuan,2021,
Papua Barat Daya,Perempuan,2020,
Papua,Laki-Laki,2024,53.1
Papua,Laki-Laki,2023,54.74
Papua,Laki-Laki,2022,54.77
Papua,Laki-Laki,2021,55.47
Papua,Laki-Laki,2020,57.05
Papua,Perempuan,2024,46.9
Papua,Perempuan,2023,45.26
Papua,Perempuan,2022,45.23
Papua,Perempuan,2021,44.53
Papua,Perempuan,2020,42.95
Papua Selatan,Laki-Laki,2024,55.52
