Provinsi,Segmentasi Wilayah,Tahun,Persentase
DI Yogyakarta,Perkotaan,2021,89.61
DI Yogyakarta,Perkotaan,2020,89.67
DI Yogyakarta,Perdesaan,2024,82.34
DI Yogyakarta,Perdesaan,2023,83.93
DI Yogyakarta,Perdesaan,2022,84.09
DI Yogyakarta,Perdesaan,2021,78.28
DI Yogyakarta,Perdesaan,2020,74.38
Jawa Timur,Perkotaan,2024,90.64
Jawa Timur,Perkotaan,2023,87.87
Jawa Timur,Perkotaan,2022,88.65
Jawa Timur,Perkotaan,2021,84.78
Jawa Timur,Perkotaan,2020,83.91
Jawa Timur,Perdesaan,2024,82.22
Jawa Timur,Perdesaan,2023,79.73
Jawa Timur,Perdesaan,2022,80.72
Jawa Timur,Perdesaan,2021,73.58
Jawa Timur,Perdesaan,2020,69.59
Banten,Perkotaan,2024,94.98
Banten,Perkotaan,2023,93.91
Banten,Perkotaan,2022,93.84
Banten,Perkotaan,2021,92.35
Banten,Perkotaan,2020,91.01
Banten,Perdesaan,2024,84.91
Banten,Perdesaan,2023,81.48
Banten,Perdesaan,2022,82.77
Banten,Perdesaan,2021,74.96
Banten,Perdesaan,2020,66.06
Bali,Perkotaan,2024,94.74
Bali,Perkotaan,2023,91.06
Bali,Perkotaan,2022,93.78
Bali,Perkotaan,2021,91.83
Bali,Perkotaan,2020,91.09
Bali,Perdesaan,2024,85.25
Bali,Perdesaan,2023,78.35
Bali,Perdesaan,2022,85.09
Bali,Perdesaan,2021,77.83
Bali,Perdesaan,2020,73.21
Nusa Tenggara Barat,Perkotaan,2024,89.12
Nusa Tenggara Barat,Perkotaan,2023,84.08
Nusa Tenggara Barat,Perkotaan,2022,84.56
Nusa Tenggara Barat,Perkotaan,2021,79.53
Nusa Tenggara Barat,Perkotaan,2020,76.95
Nusa Tenggara Barat,Perdesaan,2024,83.74
Nusa Tenggara Barat,Perdesaan,2023,79.31
Nusa Tenggara Barat,Perdesaan,2022,75.04
Nusa Tenggara Barat,Perdesaan,2021,67.93
Nusa Tenggara Barat,Perdesaan,2020,62.71
Nusa Tenggara Timur,Perkotaan,2024,94.88
Nusa Tenggara Timur,Perkotaan,2023,93.53
Nusa Tenggara Timur,Perkotaan,2022,91.52
Nusa Tenggara Timur,Perkotaan,2021,90.65
Nusa Tenggara Timur,Perkotaan,2020,87.5
Nusa Tenggara Timur,Perdesaan,2024,77.81
Nusa Tenggara Timur,Perdesaan,2023,73.18
Nusa Tenggara Timur,Perdesaan,2022,67.96
Nusa Tenggara Timur,Perdesaan,2021,60.65
Nusa Tenggara Timur,Perdesaan,2020,46.78
Kalimantan Barat,Perkotaan,2024,96.47
Kalimantan Barat,Perkotaan,2023,92.99
Kalimantan Barat,Perkotaan,2022,92.12
Kalimantan Barat,Perkotaan,2021,90.41
Kalimantan Barat,Perkotaan,2020,88.89
Kalimantan Barat,Perdesaan,2024,90.31
Kalimantan Barat,Perdesaan,2023,85.71
Kalimantan Barat,Perdesaan,2022,80.56
Kalimantan Barat,Perdesaan,2021,73.12
Kalimantan Barat,Perdesaan,2020,60.74
Kalimantan Tengah,Perkotaan,2024,96.46
Kalimantan Tengah,Perkotaan,2023,93.14
Kalimantan Tengah,Perkotaan,2022,92.91
Kalimantan Tengah,Perkotaan,2021,89.94
Kalimantan Tengah,Perkotaan,2020,89.92
Kalimantan Tengah,Perdesaan,2024,88.79
Kalimantan Tengah,Perdesaan,2023,84.5
Kalimantan Tengah,Perdesaan,2022,79.05
Kalimantan Tengah,Perdesaan,2021,73.57
Kalimantan Tengah,Perdesaan,2020,67.55
Kalimantan Selatan,Perkotaan,2024,92.04
