Provinsi,Segmentasi Wilayah,Tahun,Telepon Kabel
Nusa Tenggara Timur,Perkotaan,2022,0.82
Nusa Tenggara Timur,Perkotaan,2023,0.55
Nusa Tenggara Timur,Perkotaan,2024,0.31
Nusa Tenggara Timur,Perdesaan,2020,0.1
Nusa Tenggara Timur,Perdesaan,2021,0.11
Nusa Tenggara Timur,Perdesaan,2022,0.17
Nusa Tenggara Timur,Perdesaan,2023,0.14
Nusa Tenggara Timur,Perdesaan,2024,0.1
Papua,Perkotaan,2020,1.71
Papua,Perkotaan,2021,0.68
Papua,Perkotaan,2022,0.71
Papua,Perkotaan,2023,0.76
Papua,Perkotaan,2024,1.98
Papua,Perdesaan,2020,0.12
Papua,Perdesaan,2021,0.02
Papua,Perdesaan,2022,0.11
Papua,Perdesaan,2023,0.02
Papua,Perdesaan,2024,0.13
Papua Barat,Perkotaan,2020,0.9
Papua Barat,Perkotaan,2021,0.24
Papua Barat,Perkotaan,2022,0.93
Papua Barat,Perkotaan,2023,1.5
Papua Barat,Perkotaan,2024,
Papua Barat,Perdesaan,2020,0.15
Papua Barat,Perdesaan,2021,
Papua Barat,Perdesaan,2022,0.22
Papua Barat,Perdesaan,2023,0.29
Papua Barat,Perdesaan,2024,0.02
Papua Barat Daya,Perkotaan,2020,
Papua Barat Daya,Perkotaan,2021,
Papua Barat Daya,Perkotaan,2022,
Papua Barat Daya,Perkotaan,2023,
Papua Barat Daya,Perkotaan,2024,
Papua Barat Daya,Perdesaan,2020,
Papua Barat Daya,Perdesaan,2021,
Papua Barat Daya,Perdesaan,2022,
Papua Barat Daya,Perdesaan,2023,
Papua Barat Daya,Perdesaan,2024,
Papua Pegunungan,Perkotaan,2020,
Papua Pegunungan,Perkotaan,2021,
Papua Pegunungan,Perkotaan,2022,
Papua Pegunungan,Perkotaan,2023,
Papua Pegunungan,Perkotaan,2024,
Papua Pegunungan,Perdesaan,2020,
Papua Pegunungan,Perdesaan,2021,
Papua Pegunungan,Perdesaan,2022,
Papua Pegunungan,Perdesaan,2023,
Papua Pegunungan,Perdesaan,2024,
Papua Selatan,Perkotaan,2020,
Papua Selatan,Perkotaan,2021,
