Provinsi,Tahun,Segmentasi Wilayah,Persentase
Kalimantan Tengah,2022,Perkotaan,97.43
Kalimantan Tengah,2021,Perkotaan,96.97
Kalimantan Tengah,2020,Perkotaan,98.45
Kalimantan Tengah,2024,Perdesaan,94.05
Kalimantan Tengah,2023,Perdesaan,89.66
Kalimantan Tengah,2022,Perdesaan,90.44
Kalimantan Tengah,2021,Perdesaan,90.29
Kalimantan Tengah,2020,Perdesaan,91.82
Kalimantan Timur,2024,Perkotaan,98.94
Kalimantan Timur,2023,Perkotaan,97.89
Kalimantan Timur,2022,Perkotaan,98.04
Kalimantan Timur,2021,Perkotaan,97.61
Kalimantan Timur,2020,Perkotaan,98.39
Kalimantan Timur,2024,Perdesaan,97.32
Kalimantan Timur,2023,Perdesaan,95.53
Kalimantan Timur,2022,Perdesaan,96.61
Kalimantan Timur,2021,Perdesaan,94.85
Kalimantan Timur,2020,Perdesaan,95.39
Kalimantan Utara,2024,Perkotaan,99.09
Kalimantan Utara,2023,Perkotaan,98.94
Kalimantan Utara,2022,Perkotaan,99.2
Kalimantan Utara,2021,Perkotaan,98.78
Kalimantan Utara,2020,Perkotaan,98.76
Kalimantan Utara,2024,Perdesaan,95.82
Kalimantan Utara,2023,Perdesaan,94.61
Kalimantan Utara,2022,Perdesaan,96.21
Kalimantan Utara,2021,Perdesaan,94.38
Kalimantan Utara,2020,Perdesaan,96.78
Kep. Bangka Belitung,2024,Perkotaan,96.7
Kep. Bangka Belitung,2023,Perkotaan,96
Kep. Bangka Belitung,2022,Perkotaan,96.58
Kep. Bangka Belitung,2021,Perkotaan,95.08
Kep. Bangka Belitung,2020,Perkotaan,95.66
Kep. Bangka Belitung,2024,Perdesaan,95.65
Kep. Bangka Belitung,2023,Perdesaan,92.73
Kep. Bangka Belitung,2022,Perdesaan,94.81
Kep. Bangka Belitung,2021,Perdesaan,91.05
Kep. Bangka Belitung,2020,Perdesaan,91.67
Kep. Riau,2024,Perkotaan,99.58
Kep. Riau,2023,Perkotaan,97.98
Kep. Riau,2022,Perkotaan,98.8
Kep. Riau,2021,Perkotaan,98.84
Kep. Riau,2020,Perkotaan,99.02
Kep. Riau,2024,Perdesaan,95.3
Kep. Riau,2023,Perdesaan,93.28
Kep. Riau,2022,Perdesaan,94.61
Kep. Riau,2021,Perdesaan,91.23
Kep. Riau,2020,Perdesaan,92.83
Lampung,2024,Perkotaan,96.66
Lampung,2023,Perkotaan,95.32
Lampung,2022,Perkotaan,96.65
Lampung,2021,Perkotaan,94.72
Lampung,2020,Perkotaan,95.87
Lampung,2024,Perdesaan,94.85
Lampung,2023,Perdesaan,91.41
Lampung,2022,Perdesaan,94.48
Lampung,2021,Perdesaan,92.18
Lampung,2020,Perdesaan,90.68
Maluku,2024,Perkotaan,98.47
Maluku,2023,Perkotaan,96.25
Maluku,2022,Perkotaan,97.59
Maluku,2021,Perkotaan,97.37
Maluku,2020,Perkotaan,97.38
Maluku,2024,Perdesaan,91.15
Maluku,2023,Perdesaan,85.61
Maluku,2022,Perdesaan,91.34
Maluku,2021,Perdesaan,87.83
Maluku,2020,Perdesaan,83.39
maluku Utara,2024,Perkotaan,98.39
maluku Utara,2023,Perkotaan,97.58
maluku Utara,2022,Perkotaan,96.69
maluku Utara,2021,Perkotaan,97.21
maluku Utara,2020,Perkotaan,98.04
maluku Utara,2024,Perdesaan,93.09
maluku Utara,2023,Perdesaan,88.43
maluku Utara,2022,Perdesaan,91.23
maluku Utara,2021,Perdesaan,87.34
maluku Utara,2020,Perdesaan,86.53
Nusa Tenggara Barat,2024,Perkotaan,93.73
Nusa Tenggara Barat,2023,Perkotaan,91.62
Nusa Tenggara Barat,2022,Perkotaan,93.21
Nusa Tenggara Barat,2021,Perkotaan,91.98
Nusa Tenggara Barat,2020,Perkotaan,90.87
Nusa Tenggara Barat,2024,Perdesaan,90.15
Nusa Tenggara Barat,2023,Perdesaan,87.62
Nusa Tenggara Barat,2022,Perdesaan,88.69
Nusa Tenggara Barat,2021,Perdesaan,85.08
